,location.name,location.city,location.lat,location.lng
0,Goa,,15.401944,74.043333
1,Goa Baga Beach,"Goa, India",12.9368237,77.6115571
2,Goa Bagha Beach,"Mumbai, Maharashtra",19.1404708,72.854657
3,Goa,,18.6485982299,73.7512949098
4,"Panjim, Goa, India",,15.4988,73.8278
5,Goa Calangute Beach,"Goa, India",15.536570242546,73.763927572476
6,"Arambol, Goa, India",,15.7,73.7
7,"Goa City, India",Calangute,15.55166,73.76177
8,Goa Mapusa,"Mumbai, Maharashtra",19.1281247,72.82703
9,Goa,Thane,19.229843223732,72.982716006349
10,Goa Bagha Beach,,18.517607656257,73.926059543133
11,"Calungute Beach, Goa","Pen, Maharashtra",18.800426,73.084682
12,Goa,,18.64744,73.80003
13,"Arambol Beach, Goa",,18.9583156,72.8271091
14,"Calangute Beach, North Goa, India","Delhi, India",15.542581260556,73.755626885428
15,Vagator Beach North Goa,,19.096128330141,72.875268303909
16,Goa Panjim,"Mumbai, Maharashtra",19.071433636364,72.998260454545
17,Goa Portuguesa Restobar,"Mahim W. Mumbai, India",19.031892741575,72.840170837428
18,"Aguada Fort, Goa, India",,15.49849428666,73.766398731859
19,"Ponda, Goa",,15.40603,74.00649
20,Goa Old Goa Church,,19.147218493151,72.82692
21,Goalpara,,26.17,90.62
22,"Panaji, Goa, India","Pune, Maharashtra",18.453808575886,73.831657888437
23,"Anjuna Beach, Goa",Mumbai,18.991,72.8337
24,"Sawantwadi,Goa",,19.22655,72.846731
25,Calangute Beach Goa,"Mumbai, Maharashtra",19.091926937039,72.857200321769
26,"Sequerim Beach, Goa","Mumbai, Maharashtra",18.98591,72.83041
27,Alibag-Mini GoA,"Alibágh, Maharashtra, India",18.649864088507,72.878665924072
28,"Baga Beach, Goa",,15.34804,75.15777
29,Calingut Beach Goa,"Mumbai, Maharashtra",19.2169706,72.8480162
30,Provorim Goa,"Mumbai, Maharashtra",19.062150871667,72.831696963333
31,"Fort Aguada, Goa",Mumbai,19.1649059,72.858325
32,Goa International Airport,,15.380833333333,73.831388888889
33,Goaa,,18.957804473667,72.828839672258
34,Mumbai - Goa Highway,"Pen, Maharashtra",18.970528521635,73.131921984981
36,Kalangute Beach Goa - Panjim,"Mumbai, Maharashtra",19.1730251,72.8757505
37,"Coco Beach, Goa","Mumbai, Maharashtra",19.1116597,72.8606027
38,Goa Panjim,,19.071226,72.846868
39,Mumbai Goa Highway,Pen,18.7095639,73.0470223
40,Goa Holidays.,"Pune, India",18.51241,73.85593
41,Goa Colva Beach,Mormugao,15.3868137,73.9301308
42,"Goa,Baga Beach","Delhi, India",28.66893,77.29696
43,Goa Mapsa,Satara,17.6993414,74.0060552
44,Goa Margao,Margao,15.267952468829,73.970205633416
45,Goa Marriott Resort & Spa,"Panjim, Goa, India",15.486851327816,73.809328079224
46,Old Goa,,15.50238,73.911746
47,Goa Beach,Pimpri Chinchwad,18.598135,73.77442
48,Goandevi Maidan Ghatla Chembur,,19.054413577777,72.907916124605
49,Mumbai Goa National Expressway,Panvel Sub-District,18.84721,73.09515
50,"Taj Vivanta, Goa","Mumbai, Maharashtra",19.065215373891,72.892873751584
51,"Calgunte Beach, Goa","Goa, India",15.545158432346,73.756652489051
52,"Goa, Camarines Sur",,13.69577,123.47649
53,"Chapora Fort, Goa, India",,15.6051473213,73.736905728
54,HillTop Goa,"Goa, India",15.592836658507,73.74220284369
